player_id,foot,country,tier,gender,season_end_year,player,url
c04ebe99,left,BRA,1st,M,2022,Rodrigo Nestor,https://fbref.com//en/players/c04ebe99/Rodrigo-Nestor
c04ebe99,left,BRA,1st,M,2021,Rodrigo Nestor,https://fbref.com//en/players/c04ebe99/Rodrigo-Nestor
c04ebe99,left,BRA,1st,M,2020,Rodrigo Nestor,https://fbref.com//en/players/c04ebe99/Rodrigo-Nestor
8d8178ac,right,ITA,1st,M,2021,Rodrigo Palacio,https://fbref.com//en/players/8d8178ac/Rodrigo-Palacio
8d8178ac,right,ITA,1st,M,2020,Rodrigo Palacio,https://fbref.com//en/players/8d8178ac/Rodrigo-Palacio
8d8178ac,right,ITA,1st,M,2019,Rodrigo Palacio,https://fbref.com//en/players/8d8178ac/Rodrigo-Palacio
8d8178ac,right,ITA,1st,M,2018,Rodrigo Palacio,https://fbref.com//en/players/8d8178ac/Rodrigo-Palacio
16b6b009,right,BRA,1st,M,2019,Rodrigo Pimpão,https://fbref.com//en/players/16b6b009/Rodrigo-Pimpao
5db20508,left,POR,1st,M,2022,Rodrigo Pinho,https://fbref.com//en/players/5db20508/Rodrigo-Pinho
5db20508,left,POR,1st,M,2021,Rodrigo Pinho,https://fbref.com//en/players/5db20508/Rodrigo-Pinho
5db20508,left,POR,1st,M,2020,Rodrigo Pinho,https://fbref.com//en/players/5db20508/Rodrigo-Pinho
5db20508,left,POR,1st,M,2019,Rodrigo Pinho,https://fbref.com//en/players/5db20508/Rodrigo-Pinho
5eb7e203,right,MEX,1st,M,2022,Rodrigo Salinas,https://fbref.com//en/players/5eb7e203/Rodrigo-Salinas
5eb7e203,right,MEX,1st,M,2021,Rodrigo Salinas,https://fbref.com//en/players/5eb7e203/Rodrigo-Salinas
5eb7e203,right,MEX,1st,M,2020,Rodrigo Salinas,https://fbref.com//en/players/5eb7e203/Rodrigo-Salinas
5eb7e203,right,MEX,1st,M,2019,Rodrigo Salinas,https://fbref.com//en/players/5eb7e203/Rodrigo-Salinas
5bb02df4,right,USA,1st,M,2021,Rodrigo Schlegel,https://fbref.com//en/players/5bb02df4/Rodrigo-Schlegel
5bb02df4,right,USA,1st,M,2020,Rodrigo Schlegel,https://fbref.com//en/players/5bb02df4/Rodrigo-Schlegel
a03c82b2,right,ESP,1st,M,2020,Rodrigo Tarín,https://fbref.com//en/players/a03c82b2/Rodrigo-Tarin
a03c82b2,right,ESP,1st,M,2019,Rodrigo Tarín,https://fbref.com//en/players/a03c82b2/Rodrigo-Tarin
67f5e064,right,BRA,1st,M,2021,Rodrigues,https://fbref.com//en/players/67f5e064/Rodrigues
67f5e064,right,BRA,1st,M,2020,Rodrigues,https://fbref.com//en/players/67f5e064/Rodrigues
67f5e064,right,BRA,1st,M,2019,Rodrigues,https://fbref.com//en/players/67f5e064/Rodrigues
0e335a47,right,BRA,1st,M,2022,Rodriguinho Marinho,https://fbref.com//en/players/0e335a47/Rodriguinho-Marinho
0e335a47,right,BRA,1st,M,2021,Rodriguinho Marinho,https://fbref.com//en/players/0e335a47/Rodriguinho-Marinho
0e335a47,right,BRA,1st,M,2020,Rodriguinho Marinho,https://fbref.com//en/players/0e335a47/Rodriguinho-Marinho
0e335a47,right,BRA,1st,M,2019,Rodriguinho Marinho,https://fbref.com//en/players/0e335a47/Rodriguinho-Marinho
e226132d,right,POR,1st,M,2021,Rodrigão,https://fbref.com//en/players/e226132d/Rodrigao
e226132d,right,POR,1st,M,2020,Rodrigão,https://fbref.com//en/players/e226132d/Rodrigao
8f5e92a6,right,BRA,1st,M,2019,Rodrygo,https://fbref.com//en/players/8f5e92a6/Rodrygo
8f5e92a6,right,ESP,1st,M,2022,Rodrygo,https://fbref.com//en/players/8f5e92a6/Rodrygo
8f5e92a6,right,ESP,1st,M,2021,Rodrygo,https://fbref.com//en/players/8f5e92a6/Rodrygo
8f5e92a6,right,ESP,1st,M,2020,Rodrygo,https://fbref.com//en/players/8f5e92a6/Rodrygo
10b2f290,right,NED,1st,M,2020,Rody de Boer,https://fbref.com//en/players/10b2f290/Rody-de-Boer
d2c58277,left,NED,1st,M,2022,Roel Janssen,https://fbref.com//en/players/d2c58277/Roel-Janssen
d2c58277,left,NED,1st,M,2021,Roel Janssen,https://fbref.com//en/players/d2c58277/Roel-Janssen
d2c58277,left,NED,1st,M,2020,Roel Janssen,https://fbref.com//en/players/d2c58277/Roel-Janssen
d2c58277,left,NED,1st,M,2019,Roel Janssen,https://fbref.com//en/players/d2c58277/Roel-Janssen
bf9a2406,right,MEX,1st,M,2022,Rogelio Funes Mori,https://fbref.com//en/players/bf9a2406/Rogelio-Funes-Mori
bf9a2406,right,MEX,1st,M,2021,Rogelio Funes Mori,https://fbref.com//en/players/bf9a2406/Rogelio-Funes-Mori
bf9a2406,right,MEX,1st,M,2020,Rogelio Funes Mori,https://fbref.com//en/players/bf9a2406/Rogelio-Funes-Mori
bf9a2406,right,MEX,1st,M,2019,Rogelio Funes Mori,https://fbref.com//en/players/bf9a2406/Rogelio-Funes-Mori
d571f664,right,BRA,1st,M,2019,Roger,https://fbref.com//en/players/d571f664/Roger
5d5219b1,right,ESP,1st,M,2020,Roger Assalé,https://fbref.com//en/players/5d5219b1/Roger-Assale
5d5219b1,right,FRA,1st,M,2021,Roger Assalé,https://fbref.com//en/players/5d5219b1/Roger-Assale
839aeeb4,right,BRA,1st,M,2020,Roger Carvalho,https://fbref.com//en/players/839aeeb4/Roger-Carvalho
839aeeb4,right,BRA,1st,M,2019,Roger Carvalho,https://fbref.com//en/players/839aeeb4/Roger-Carvalho
60b7c195,left,USA,1st,M,2021,Roger Espinoza,https://fbref.com//en/players/60b7c195/Roger-Espinoza
60b7c195,left,USA,1st,M,2020,Roger Espinoza,https://fbref.com//en/players/60b7c195/Roger-Espinoza
60b7c195,left,USA,1st,M,2019,Roger Espinoza,https://fbref.com//en/players/60b7c195/Roger-Espinoza
612a9dd7,right,BRA,1st,M,2022,Roger Guedes,https://fbref.com//en/players/612a9dd7/Roger-Guedes
612a9dd7,right,BRA,1st,M,2021,Roger Guedes,https://fbref.com//en/players/612a9dd7/Roger-Guedes
82efe6fa,right,ITA,1st,M,2022,Roger Ibanez,https://fbref.com//en/players/82efe6fa/Roger-Ibanez
82efe6fa,right,ITA,1st,M,2021,Roger Ibanez,https://fbref.com//en/players/82efe6fa/Roger-Ibanez
82efe6fa,right,ITA,1st,M,2020,Roger Ibanez,https://fbref.com//en/players/82efe6fa/Roger-Ibanez
82efe6fa,right,ITA,1st,M,2019,Roger Ibanez,https://fbref.com//en/players/82efe6fa/Roger-Ibanez
0ae4e09a,right,ESP,1st,M,2022,Roger Martí,https://fbref.com//en/players/0ae4e09a/Roger-Marti
0ae4e09a,right,ESP,1st,M,2021,Roger Martí,https://fbref.com//en/players/0ae4e09a/Roger-Marti
0ae4e09a,right,ESP,1st,M,2020,Roger Martí,https://fbref.com//en/players/0ae4e09a/Roger-Marti
0ae4e09a,right,ESP,1st,M,2019,Roger Martí,https://fbref.com//en/players/0ae4e09a/Roger-Marti
0ae4e09a,right,ESP,1st,M,2018,Roger Martí,https://fbref.com//en/players/0ae4e09a/Roger-Marti
6f0d613a,right,ESP,1st,M,2018,Roger Martínez,https://fbref.com//en/players/6f0d613a/Roger-Martinez
6f0d613a,right,MEX,1st,M,2022,Roger Martínez,https://fbref.com//en/players/6f0d613a/Roger-Martinez
6f0d613a,right,MEX,1st,M,2021,Roger Martínez,https://fbref.com//en/players/6f0d613a/Roger-Martinez
6f0d613a,right,MEX,1st,M,2020,Roger Martínez,https://fbref.com//en/players/6f0d613a/Roger-Martinez
6f0d613a,right,MEX,1st,M,2019,Roger Martínez,https://fbref.com//en/players/6f0d613a/Roger-Martinez
d8131ea0,right,BRA,1st,M,2020,Rogério,https://fbref.com//en/players/d8131ea0/Rogerio
d8131ea0,right,BRA,1st,M,2019,Rogério,https://fbref.com//en/players/d8131ea0/Rogerio
d8131ea0,right,MEX,1st,M,2022,Rogério,https://fbref.com//en/players/d8131ea0/Rogerio
10e7f486,left,ITA,1st,M,2022,Rogério,https://fbref.com//en/players/10e7f486/Rogerio
10e7f486,left,ITA,1st,M,2021,Rogério,https://fbref.com//en/players/10e7f486/Rogerio
10e7f486,left,ITA,1st,M,2020,Rogério,https://fbref.com//en/players/10e7f486/Rogerio
10e7f486,left,ITA,1st,M,2019,Rogério,https://fbref.com//en/players/10e7f486/Rogerio
10e7f486,left,ITA,1st,M,2018,Rogério,https://fbref.com//en/players/10e7f486/Rogerio
62414dd2,right,NED,1st,M,2021,Rohat Agca,https://fbref.com//en/players/62414dd2/Rohat-Agca
