player_name,team_name,position,mins_played,matches,aerials_won,aerials_lost
"César Azpilicueta<span class=""ui-icon country flg-es""></span>","Chelsea, ",",  D(CLR),M(R)  ",2075	,75	,46	,29	
"José Sá<span class=""ui-icon country flg-pt""></span>","Wolverhampton, ",",  GK  ",3286	,13	,13	,-	
"Nick Pope<span class=""ui-icon country flg-gb-eng""></span>","Burnley, ",",  GK  ",3240	,18	,18	,-	
"Jan Bednarek<span class=""ui-icon country flg-pl""></span>","Southampton, ",",  D(C)  ",2633	,130	,91	,39	
"Dan Burn<span class=""ui-icon country flg-gb-eng""></span>","Brighton, ",",  D(CL),M(L)  ",1023	,53	,32	,21	
"Pablo Fornals<span class=""ui-icon country flg-es""></span>","West Ham, ",",  M(CLR)  ",2804	,53	,23	,30	
"David Raya<span class=""ui-icon country flg-es""></span>","Brentford, ",",  GK  ",2160	,12	,10	,2	
"Joël Veltman<span class=""ui-icon country flg-nl""></span>","Brighton, ",",  D(CR),M(R)  ",2881	,86	,57	,29	
"Lucas Digne<span class=""ui-icon country flg-fr""></span>","Everton, ",",  D(CL),M(L)  ",1170	,41	,25	,16	
"Calum Chambers<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  D(CR),DMC  ",829	,51	,26	,25	
"Pascal Groß<span class=""ui-icon country flg-de""></span>","Brighton, ",",  M(CR),FW  ",2043	,36	,15	,21	
"Harvey Barnes<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  AM(CL)  ",2107	,65	,24	,41	
"Naby Keïta<span class=""ui-icon country flg-gn""></span>","Liverpool, ",",  M(C)  ",1175	,21	,6	,15	
"Hugo Lloris<span class=""ui-icon country flg-fr""></span>","Tottenham, ",",  GK  ",3420	,16	,14	,2	
"Raphaël Varane<span class=""ui-icon country flg-fr""></span>","Manchester United, ",",  D(C)  ",1829	,76	,56	,20	
"Demarai Gray<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  AM(CLR),FW  ",2352	,35	,4	,31	
"Stuart Dallas<span class=""ui-icon country flg-gb-nir""></span>","Leeds, ",",  D(LR),M(CLR)  ",2929	,66	,32	,34	
"João Pedro<span class=""ui-icon country flg-br""></span>","Watford, ",",  AM(L),FW  ",1639	,148	,56	,92	
"Daniel Podence<span class=""ui-icon country flg-pt""></span>","Wolverhampton, ",",  AM(CLR),FW  ",1486	,19	,2	,17	
"Benjamin White<span class=""ui-icon country flg-gb-eng""></span>","Arsenal, ",",  D(CR),DMC  ",2880	,102	,62	,40	
"Douglas Luiz<span class=""ui-icon country flg-br""></span>","Aston Villa, ",",  M(C)  ",2720	,58	,26	,32	
"Ben Davies<span class=""ui-icon country flg-gb-wls""></span>","Tottenham, ",",  D(CL),M(L)  ",2540	,119	,67	,52	
"Callum Hudson-Odoi<span class=""ui-icon country flg-gb-eng""></span>","Chelsea, ",",  M(CLR)  ",966	,12	,4	,8	
"Jacob Ramsey<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  AM(C)  ",2477	,50	,16	,34	
